Clients,Average,Std.Dev
20,2.18182,1.40248
20,2.54545,1.30479
20,2.54545,1.55877
20,2.18182,1.33609
20,2.36364,1.22643
20,2.36364,1.22643
20,2.18182,1.40248
20,2.18182,1.40248
20,2.54545,1.43740
20,1.81818,1.40248
20,2.27273,1.28565
20,2.45455,1.23315
20,2.45455,1.37270
20,2.54545,1.43740
20,2.54545,1.30479
20,2.27273,1.35451
20,2.54545,1.30479
20,2.54545,1.37270
20,2.54545,1.37270
20,2.18182,1.40248
20,2.15385,1.29176
20,2.07692,1.07141
20,2.15385,0.863459
20,2.07692,0.997037
20,2.15385,0.863459
20,2.23077,0.973009
20,2.07692,1.07141
20,2.15385,1.45951
20,2.15385,1.45951
20,2.15385,1.51130
20,2.15385,1.29176
20,2.15385,1.02628
20,1.84615,1.02628
20,2.15385,0.863459
20,2.15385,1.09868
20,2.23077,1.12002
20,2.07692,0.997037
20,2.15385,1.09868
20,2.23077,0.799408
20,2.23077,0.799408
20,3.50000,1.38444
20,3.50000,1.60728
20,3.83333,1.77169
20,3.83333,1.67498
20,3.66667,2.28522
20,3.83333,1.46249
20,3.83333,1.86339
20,3.50000,1.60728
20,4.16667,1.34371
20,3.83333,0.897527
20,3.50000,1.60728
20,3.66667,1.24722
20,3.33333,2.05480
20,4.00000,1.41421
20,3.50000,1.38444
20,3.66667,0.942809
20,3.50000,1.60728
20,3.33333,1.24722
20,3.33333,1.88562
20,3.66667,1.69967
30,4.50000,1.50000
30,4.00000,2.82843
30,5.50000,0.500000
30,3.25000,1.92029
30,4.25000,2.58602
30,4.50000,3.20156
30,3.50000,1.50000
30,5.00000,0.707107
30,4.50000,0.500000
30,4.25000,2.68095
30,4.50000,2.87228
30,4.25000,2.48747
30,4.75000,0.433013
30,4.50000,0.500000
30,5.50000,0.500000
30,4.50000,0.500000
30,4.50000,0.500000
30,4.50000,0.500000
30,4.75000,0.433013
30,4.50000,0.500000
30,4.75000,1.47902
30,5.50000,1.11803
30,5.00000,0.707107
30,4.75000,0.433013
30,4.25000,2.68095
30,4.25000,2.16506
30,4.50000,0.500000
30,5.50000,2.06155
30,3.25000,1.92029
30,4.50000,0.500000
30,2.70000,1.48661
30,2.60000,1.56205
30,2.70000,1.73494
30,2.70000,1.34536
30,2.60000,1.49666
30,2.60000,1.74356
30,2.80000,1.98997
30,2.60000,1.62481
30,2.60000,1.49666
30,2.60000,1.49666
30,2.50000,2.06155
30,2.70000,1.55242
30,2.50000,1.62788
30,2.70000,1.55242
30,2.70000,1.41774
30,2.60000,1.42829
30,2.50000,1.85742
30,2.60000,1.35647
30,2.70000,1.34536
30,2.60000,1.35647
30,2.10000,1.57797
30,2.50000,1.56525
30,2.50000,1.74642
30,2.60000,1.35647
30,2.50000,1.74642
30,2.50000,1.28452
30,2.60000,1.49666
30,2.60000,1.35647
30,2.70000,1.61555
30,2.60000,1.85472
30,3.00000,2.58199
30,2.66667,2.44949
30,2.88889,3.28107
30,2.88889,2.02454
30,2.88889,1.72848
30,2.88889,3.17786
30,3.00000,2.62467
30,2.55556,1.83249
30,2.88889,2.02454
30,2.77778,1.98762
30,2.88889,1.66296
30,2.88889,2.23331
30,2.88889,2.07870
30,2.11111,2.51416
30,3.00000,2.44949
30,2.77778,1.87248
30,2.88889,1.66296
30,2.66667,2.30940
30,2.88889,2.18299
30,3.00000,2.44949
30,2.88889,2.07870
30,3.00000,2.16025
30,3.11111,2.51416
30,2.88889,1.91163
30,2.88889,3.24703
30,2.88889,2.46957
30,2.88889,1.66296
30,2.77778,2.14879
30,2.88889,2.07870
30,2.66667,2.30940
30,3.12500,1.96453
30,3.25000,1.71391
30,3.25000,1.85405
30,3.12500,2.31503
30,3.25000,1.78536
30,3.25000,1.71391
30,3.25000,2.16506
30,3.00000,2.23607
30,3.00000,2.23607
30,3.25000,2.33184
30,3.12500,2.08791
30,3.25000,1.56125
30,3.12500,1.61536
30,3.25000,1.98431
30,2.62500,2.39466
30,3.25000,2.27761
30,3.25000,1.63936
30,3.25000,2.16506
30,3.25000,2.38485
30,3.25000,1.85405
30,3.25000,1.56125
30,3.12500,2.08791
30,3.12500,2.08791
30,3.12500,1.61536
30,3.25000,2.27761
30,3.25000,1.71391
30,3.37500,1.65359
30,3.25000,1.63936
30,3.25000,1.71391
30,3.25000,1.56125
30,4.10000,1.30000
30,3.80000,2.89137
30,4.10000,1.30000
30,3.90000,1.22066
30,3.90000,0.943398
30,3.70000,1.48661
30,4.10000,0.830662
30,4.00000,1.34164
30,4.00000,1.54919
30,3.90000,1.22066
30,4.00000,1.18322
30,4.00000,1.34164
30,3.90000,1.13578
30,3.80000,1.24900
30,4.00000,1.26491
30,4.00000,1.26491
30,3.90000,1.30000
30,4.10000,1.22066
30,4.10000,1.30000
30,3.70000,1.67631
30,3.90000,1.22066
30,3.80000,1.07703
30,3.70000,1.67631
30,4.20000,1.24900
30,3.90000,1.13578
30,3.80000,1.07703
30,4.00000,1.34164
30,4.00000,0.894427
30,4.00000,1.18322
30,3.80000,1.24900
30,2.69231,1.97619
30,2.61538,2.09536
30,2.07692,1.81708
30,2.53846,2.20543
30,2.61538,2.33826
30,2.61538,2.23739
30,2.61538,2.05832
30,2.69231,1.97619
30,2.53846,3.15291
30,2.69231,2.19736
30,2.61538,1.86211
30,2.76923,2.35842
30,2.76923,2.25845
30,2.69231,1.97619
30,2.53846,1.90608
30,2.69231,1.97619
30,2.69231,2.23210
30,2.69231,1.93687
30,2.61538,2.33826
30,2.69231,2.01474
30,2.69231,2.19736
30,2.61538,1.82033
30,2.46154,1.94602
30,2.61538,1.90297
30,2.69231,2.12620
30,2.38462,1.82033
30,2.61538,2.30513
30,2.53846,1.73717
30,2.76923,2.15385
30,2.15385,1.45951
30,5.14286,3.39868
30,4.85714,3.04390
30,5.42857,3.53986
30,5.14286,3.18158
30,5.28571,3.05728
30,5.00000,3.46410
30,5.00000,4.10575
30,4.71429,3.95382
30,5.14286,3.09047
30,5.00000,3.54562
30,4.71429,3.91752
30,4.71429,3.84389
30,5.42857,3.65893
30,4.42857,3.45821
30,4.71429,3.36852
30,4.28571,2.60298
30,5.28571,3.45230
30,5.00000,3.50510
30,4.71429,3.28261
30,4.71429,3.84389
30,5.28571,3.53409
30,4.57143,3.73620
30,4.85714,3.68117
30,4.28571,3.28261
30,4.85714,3.27015
30,4.85714,2.79942
30,4.85714,3.44046
30,4.28571,2.71052
30,4.71429,3.36852
30,4.71429,3.19438
30,4.37500,2.91280
30,4.25000,3.69966
30,4.62500,2.95540
30,4.62500,3.99805
30,4.75000,2.81736
30,4.12500,2.52178
30,4.50000,3.64005
30,4.75000,3.34477
30,4.50000,3.42783
30,4.37500,3.03881
30,4.75000,3.38194
30,4.37500,3.12000
30,4.87500,3.40725
30,4.00000,2.34521
30,4.50000,3.27872
30,4.12500,3.40725
30,4.25000,2.72718
30,4.12500,2.84770
30,4.25000,3.19179
30,4.87500,3.17952
30,4.25000,3.66572
30,4.62500,2.99739
30,4.62500,3.23796
30,4.12500,2.52178
30,4.62500,3.03881
30,4.75000,3.30719
30,4.75000,3.26917
30,4.25000,2.72718
30,4.25000,3.23071
30,4.75000,2.81736
30,5.50000,0.866025
30,5.75000,0.433013
30,5.75000,0.433013
30,5.75000,0.433013
30,4.75000,1.08972
30,5.75000,1.08972
30,5.25000,1.47902
30,5.25000,0.829156
30,5.25000,0.829156
30,6.00000,1.00000
30,5.50000,0.866025
30,5.00000,1.22474
30,6.00000,1.22474
30,6.00000,1.22474
30,4.75000,1.47902
30,4.75000,1.08972
30,5.75000,1.92029
30,4.75000,1.08972
30,5.00000,1.22474
30,6.00000,0.707107
30,5.25000,2.58602
30,5.75000,1.08972
30,5.25000,0.433013
30,5.25000,0.433013
30,5.25000,4.14578
30,5.75000,0.829156
30,5.75000,1.08972
30,5.75000,2.16506
30,5.75000,1.78536
30,4.75000,1.47902
30,4.80000,1.60000
30,4.20000,1.60000
30,4.60000,1.01980
30,4.60000,1.95959
30,4.80000,1.16619
30,4.80000,1.46969
30,4.00000,2.28035
30,4.60000,1.49666
30,4.60000,1.62481
30,4.60000,1.85472
30,4.60000,2.33238
30,5.00000,1.78885
30,4.60000,0.800000
30,4.60000,0.800000
30,4.80000,1.72047
30,4.60000,1.62481
30,5.20000,1.93907
30,4.40000,0.489898
30,4.60000,0.800000
30,4.60000,1.49666
30,5.20000,1.46969
30,4.80000,1.16619
30,4.60000,1.35647
30,4.00000,1.41421
30,4.60000,1.49666
30,5.20000,1.32665
30,4.60000,2.05913
30,4.60000,1.85472
30,4.60000,1.85472
30,5.20000,1.16619
50,4.50000,3.04138
50,4.25000,3.34477
50,4.12500,2.93417
50,4.12500,3.55097
50,4.25000,2.72718
50,4.25000,2.72718
50,4.00000,3.12250
50,2.62500,1.79844
50,4.25000,3.07205
50,2.87500,1.45237
50,4.12500,3.17952
50,4.25000,3.15238
50,4.12500,3.13996
50,2.62500,1.79844
50,4.62500,2.73576
50,4.00000,3.08221
50,4.25000,3.11247
50,4.25000,3.15238
50,4.12500,3.40725
50,4.25000,3.07205
50,3.87500,3.51559
50,4.00000,3.12250
50,4.25000,2.90474
50,3.87500,2.31503
50,4.00000,3.16228
50,4.25000,3.11247
50,4.12500,3.40725
50,2.87500,1.45237
50,3.00000,2.12132
50,4.00000,2.82843
50,4.12500,3.85479
50,4.12500,3.01817
50,4.25000,3.41870
50,4.25000,3.34477
50,4.25000,3.38194
50,2.87500,1.83286
50,4.37500,2.95540
50,4.62500,2.82566
50,4.25000,3.15238
50,4.25000,2.72718
50,3.12500,1.69097
50,4.25000,3.07205
50,3.87500,3.05931
50,4.25000,2.94746
50,4.37500,3.03881
50,4.37500,3.19912
50,4.37500,3.31427
50,4.37500,3.12000
50,3.87500,3.62069
50,4.25000,3.11247
50,1.28766,0.674822
50,1.28390,0.563237
50,1.28531,0.624779
50,1.28202,0.525289
50,1.28249,0.554263
50,1.28578,0.606591
50,1.27637,0.482643
50,1.28390,0.553115
50,1.28484,0.613974
50,1.28202,0.541182
50,1.28766,0.667809
50,1.28766,0.665690
50,1.28625,0.645847
50,1.28343,0.545214
50,1.28296,0.544162
50,1.28672,0.640880
50,1.28625,0.647303
50,1.28908,0.659033
50,1.28578,0.636881
50,1.28672,0.648911
50,1.28531,0.626285
50,1.28531,0.620241
50,1.28672,0.659704
50,1.28719,0.649791
50,1.28296,0.540690
50,1.28578,0.631685
50,1.28154,0.525990
50,1.28814,0.679142
50,1.28719,0.632906
50,1.28249,0.531719
50,1.28437,0.578263
50,1.27966,0.523408
50,1.28343,0.546938
50,1.28578,0.648601
50,1.28861,0.625149
50,1.28814,0.627996
50,1.28531,0.637461
50,1.28390,0.549700
50,1.28861,0.662446
50,1.28719,0.661282
50,1.28531,0.632270
50,1.28814,0.627246
50,1.28625,0.645847
50,1.28814,0.633222
50,1.28249,0.538756
50,1.28625,0.647303
50,1.28672,0.650360
50,1.28390,0.555663
50,1.28625,0.685455
50,1.28154,0.565667
50,2.80000,2.03961
50,2.86667,2.09338
50,2.86667,2.09338
50,2.86667,2.15613
50,2.86667,2.02868
50,2.80000,1.93907
50,2.86667,2.15613
50,2.80000,1.93907
50,2.80000,2.03961
50,2.86667,2.09338
50,2.80000,1.97315
50,2.86667,2.09338
50,2.86667,1.89268
50,2.73333,2.04831
50,2.73333,1.94822
50,2.80000,1.90438
50,2.86667,2.09338
50,2.80000,2.00666
50,2.86667,2.12498
50,2.86667,2.09338
50,2.93333,2.01550
50,2.80000,1.93907
50,2.93333,2.32283
50,2.86667,2.15613
50,2.80000,1.90438
50,2.86667,2.15613
50,2.93333,1.98214
50,2.20000,1.42361
50,2.80000,2.19697
50,2.53333,1.85712
50,2.80000,2.00666
50,2.93333,2.08060
50,2.80000,2.19697
50,2.86667,2.09338
50,2.80000,2.19697
50,2.86667,2.15613
50,2.80000,1.93907
50,2.80000,2.10396
50,2.26667,1.80616
50,2.93333,2.11240
50,2.93333,1.98214
50,2.93333,2.08060
50,2.26667,1.56915
50,2.26667,1.61107
50,2.86667,1.99555
50,2.80000,2.00666
50,2.93333,2.11240
50,2.20000,1.79629
50,2.73333,2.14372
50,2.93333,2.90899
50,6.83333,6.25611
50,5.33333,3.90157
50,5.83333,6.30916
50,6.66667,6.87184
50,7.16667,6.30916
50,7.16667,6.91416
50,7.00000,5.50757
50,7.00000,5.41603
50,5.16667,3.48409
50,6.33333,7.06321
50,7.00000,5.41603
50,6.83333,5.45945
50,5.33333,4.06885
50,6.50000,6.82520
50,6.50000,6.99405
50,6.00000,6.80686
50,6.16667,6.71855
50,7.16667,6.51707
50,6.00000,5.97216
50,6.16667,7.00991
50,6.66667,5.34374
50,5.66667,3.68179
50,5.33333,3.81517
50,5.83333,6.46572
50,4.66667,3.72678
50,5.66667,5.61743
50,7.00000,5.41603
50,5.16667,3.48409
50,6.33333,6.64998
50,5.83333,6.74331
50,5.16667,3.48409
50,5.83333,6.30916
50,6.33333,6.59966
50,7.00000,6.58281
50,6.33333,6.64998
50,6.16667,6.25611
50,7.16667,7.17441
50,6.00000,6.24500
50,6.33333,6.64998
50,6.83333,5.75664
50,5.83333,6.30916
50,5.00000,3.65148
50,6.33333,6.18241
50,6.33333,5.73488
50,6.00000,6.80686
50,6.66667,6.87184
50,6.83333,5.58022
50,6.83333,5.24140
50,5.83333,5.89962
50,6.33333,5.73488
50,3.20000,2.48193
50,3.70000,3.00167
50,3.70000,3.52278
50,3.60000,3.13688
50,3.60000,3.44093
50,3.10000,2.50799
50,3.70000,3.46554
50,3.40000,2.33238
50,3.60000,3.20000
50,3.30000,2.57099
50,3.50000,3.17017
50,3.90000,2.77308
50,3.50000,2.83725
50,3.10000,2.50799
50,3.40000,2.15407
50,3.30000,3.03480
50,3.50000,3.17017
50,3.90000,2.58650
50,3.60000,2.49800
50,3.30000,2.36854
50,3.50000,3.07409
50,3.60000,3.26190
50,3.50000,3.17017
50,3.30000,2.79464
50,3.60000,3.29242
50,3.60000,3.44093
50,3.30000,2.41039
50,3.70000,3.28786
50,3.40000,2.33238
50,3.40000,2.15407
50,3.70000,3.22645
50,3.60000,3.00666
50,3.30000,2.49199
50,3.90000,2.58650
50,3.50000,2.41868
50,3.70000,3.46554
50,3.60000,3.32265
50,3.40000,2.24499
50,3.50000,3.17017
50,3.90000,2.80891
50,3.50000,2.83725
50,3.50000,2.33452
50,3.10000,3.26956
50,3.70000,3.25730
50,3.20000,2.18174
50,3.60000,3.32265
50,3.50000,2.29129
50,3.30000,2.49199
50,3.70000,3.13209
50,3.60000,3.03974
50,3.38462,2.73266
50,3.23077,2.57664
50,3.30769,3.02260
50,3.61538,2.67577
50,3.30769,3.02260
50,3.46154,2.53029
50,3.23077,2.57664
50,3.61538,2.67577
50,3.38462,2.92308
50,3.61538,2.84303
50,3.38462,2.84303
50,3.38462,3.07692
50,3.38462,2.73266
50,3.23077,2.72182
50,3.46154,2.79052
50,3.61538,2.76067
50,3.38462,2.67577
50,3.53846,2.81795
50,3.61538,2.86996
50,3.46154,2.67798
50,3.38462,2.92308
50,3.23077,2.66469
50,3.46154,2.89868
50,3.46154,2.49970
50,3.38462,2.67577
50,3.38462,2.92308
50,3.38462,2.73266
50,3.38462,3.07692
50,3.30769,3.14727
50,3.46154,2.64910
50,3.46154,2.53029
50,3.30769,2.64239
50,3.38462,2.64687
50,3.38462,2.76067
50,3.30769,3.19578
50,3.38462,2.84303
50,3.53846,2.84511
50,3.38462,3.05182
50,3.38462,2.86996
50,3.30769,3.19578
50,3.30769,2.86584
50,3.38462,3.52002
50,3.38462,2.86996
50,3.38462,3.07692
50,3.53846,2.81795
50,3.38462,3.17535
50,3.46154,2.64910
50,3.61538,2.86996
50,3.38462,2.76067
50,3.38462,3.00099
50,4.90909,5.33351
50,4.18182,3.53729
50,4.45455,4.29299
50,4.54545,5.21124
50,4.09091,3.75268
50,4.36364,4.18379
50,4.81818,4.58888
50,4.54545,4.49977
50,4.81818,4.32368
50,4.09091,3.50207
50,4.54545,4.41822
50,4.18182,3.29788
50,4.54545,4.03087
50,4.18182,3.99587
50,4.00000,3.33030
50,4.54545,4.18577
50,4.45455,4.47952
50,4.45455,4.33513
50,3.90909,3.75268
50,4.45455,4.65859
50,3.90909,4.37876
50,4.09091,3.75268
50,4.54545,4.41822
50,4.18182,3.63864
50,4.36364,4.88547
50,4.09091,3.75268
50,4.18182,3.27020
50,4.36364,4.24848
50,3.90909,2.99862
50,4.45455,4.94265
50,4.18182,3.45933
50,4.36364,4.88547
50,4.54545,4.29299
50,4.54545,4.86852
50,4.45455,4.22898
50,4.36364,5.15704
50,4.72727,4.02472
50,4.90909,4.33704
50,4.00000,4.04520
50,3.27273,2.33903
50,4.45455,4.29299
50,4.18182,3.12812
50,4.90909,5.33351
50,5.00000,4.89898
50,4.00000,4.67099
50,4.09091,3.77683
50,4.00000,3.38446
50,4.27273,3.56985
50,4.18182,3.21412
50,4.63636,4.11809
50,3.00000,2.60768
50,5.20000,3.18748
50,4.80000,3.48712
50,4.80000,3.05941
50,4.80000,3.48712
50,4.80000,3.48712
50,4.80000,3.48712
50,5.00000,3.52136
50,5.20000,2.22711
50,5.00000,3.52136
50,5.20000,3.42929
50,3.80000,2.63818
50,5.00000,3.22490
50,4.80000,4.35431
